    µm         	nm
1.308083e-001	2.928644e+000
1.310308e-001	2.838992e+000
1.312533e-001	2.838992e+000
1.314757e-001	2.838992e+000
1.316982e-001	2.838992e+000
1.319206e-001	2.868876e+000
1.321431e-001	2.868876e+000
1.323655e-001	2.868876e+000
1.325880e-001	2.838992e+000
1.328105e-001	2.898760e+000
1.330329e-001	2.838992e+000
1.332554e-001	2.838992e+000
1.334778e-001	2.868876e+000
1.337003e-001	2.838992e+000
1.339227e-001	2.838992e+000
1.341452e-001	2.868876e+000
1.343677e-001	2.868876e+000
1.345901e-001	2.868876e+000
1.348126e-001	2.868876e+000
1.350350e-001	2.898760e+000
1.352575e-001	2.809108e+000
1.354799e-001	2.809108e+000
1.357024e-001	2.809108e+000
1.359249e-001	2.838992e+000
1.361473e-001	2.838992e+000
1.363698e-001	2.898760e+000
1.365922e-001	2.868876e+000
1.368147e-001	2.838992e+000
1.370371e-001	2.779224e+000
1.372596e-001	2.809108e+000
1.374820e-001	2.838992e+000
1.377045e-001	2.838992e+000
1.379270e-001	2.809108e+000
1.381494e-001	2.898760e+000
1.383719e-001	2.838992e+000
1.385943e-001	2.838992e+000
1.388168e-001	2.898760e+000
1.390392e-001	2.898760e+000
1.392617e-001	2.838992e+000
1.394842e-001	2.838992e+000
1.397066e-001	2.868876e+000
1.399291e-001	2.868876e+000
1.401515e-001	2.868876e+000
1.403740e-001	2.898760e+000
1.405964e-001	2.868876e+000
1.408189e-001	2.868876e+000
1.410414e-001	2.898760e+000
1.412638e-001	2.838992e+000
1.414863e-001	2.838992e+000
1.417087e-001	2.868876e+000
1.419312e-001	2.838992e+000
1.421536e-001	2.868876e+000
1.423761e-001	2.809108e+000
1.425986e-001	2.838992e+000
1.428210e-001	2.838992e+000
1.430435e-001	2.809108e+000
1.432659e-001	2.898760e+000
1.434884e-001	2.868876e+000
1.437108e-001	2.898760e+000
1.439333e-001	2.898760e+000
1.441557e-001	2.868876e+000
1.443782e-001	2.838992e+000
1.446007e-001	2.838992e+000
1.448231e-001	2.838992e+000
1.450456e-001	2.868876e+000
1.452680e-001	2.868876e+000
1.454905e-001	2.838992e+000
1.457129e-001	2.868876e+000
1.459354e-001	2.868876e+000
1.461579e-001	2.838992e+000
1.463803e-001	2.838992e+000
1.466028e-001	2.838992e+000
1.468252e-001	2.838992e+000
1.470477e-001	2.898760e+000
1.472701e-001	2.838992e+000
1.474926e-001	2.868876e+000
1.477151e-001	2.868876e+000
1.479375e-001	2.838992e+000
1.481600e-001	2.898760e+000
1.483824e-001	2.898760e+000
1.486049e-001	2.868876e+000
1.488273e-001	2.898760e+000
1.490498e-001	2.898760e+000
1.492723e-001	2.898760e+000
1.494947e-001	2.868876e+000
1.497172e-001	2.868876e+000
1.499396e-001	2.898760e+000
1.501621e-001	2.868876e+000
1.503845e-001	2.898760e+000
1.506070e-001	2.868876e+000
1.508295e-001	2.868876e+000
1.510519e-001	2.868876e+000
1.512744e-001	2.809108e+000
1.514968e-001	2.898760e+000
1.517193e-001	2.868876e+000
1.519417e-001	2.868876e+000
1.521642e-001	2.838992e+000
1.523866e-001	2.898760e+000
1.526091e-001	2.898760e+000
1.528316e-001	2.838992e+000
1.530540e-001	2.809108e+000
1.532765e-001	2.898760e+000
1.534989e-001	2.838992e+000
1.537214e-001	2.809108e+000
1.539438e-001	2.838992e+000
1.541663e-001	2.838992e+000
1.543888e-001	2.838992e+000
1.546112e-001	2.868876e+000
1.548337e-001	2.809108e+000
1.550561e-001	2.809108e+000
1.552786e-001	2.809108e+000
1.555010e-001	2.779224e+000
1.557235e-001	2.838992e+000
1.559460e-001	2.809108e+000
1.561684e-001	2.868876e+000
1.563909e-001	2.898760e+000
1.566133e-001	2.868876e+000
1.568358e-001	2.838992e+000
1.570582e-001	2.809108e+000
1.572807e-001	2.838992e+000
1.575032e-001	2.838992e+000
1.577256e-001	2.838992e+000
1.579481e-001	2.838992e+000
1.581705e-001	2.868876e+000
1.583930e-001	2.779224e+000
1.586154e-001	2.868876e+000
1.588379e-001	2.868876e+000
1.590603e-001	2.838992e+000
1.592828e-001	2.928644e+000
1.595053e-001	2.868876e+000
1.597277e-001	2.898760e+000
1.599502e-001	2.898760e+000
1.601726e-001	2.809108e+000
1.603951e-001	2.868876e+000
1.606175e-001	2.868876e+000
1.608400e-001	2.928644e+000
1.610625e-001	2.838992e+000
1.612849e-001	2.868876e+000
1.615074e-001	2.898760e+000
1.617298e-001	2.838992e+000
1.619523e-001	2.838992e+000
1.621747e-001	2.868876e+000
1.623972e-001	2.868876e+000
1.626197e-001	2.898760e+000
1.628421e-001	2.868876e+000
1.630646e-001	2.838992e+000
1.632870e-001	2.868876e+000
1.635095e-001	2.809108e+000
1.637319e-001	2.868876e+000
1.639544e-001	2.898760e+000
1.641769e-001	2.838992e+000
1.643993e-001	2.779224e+000
1.646218e-001	2.868876e+000
